,NA,EP,WP,SI,SP
1980,,,,,
1981,2213.6376606052904,2254.5927048943277,2300.915961628632,2906.9223836034134,2551.7378207659267
1982,1360.8592993638886,2470.1759621588594,3120.755451140167,2883.0552004530273,2867.4487877756146
1983,1386.4531903839122,1718.3922122130525,1265.7395595823705,2867.0742789688125,2231.6562633923163
1984,1238.320141299429,2862.9227487714543,2680.368382645716,2934.464198294295,4428.073819654877
1985,1657.5541252454261,3204.8218426390076,3227.580651683048,2912.0175480065204,4404.607173421659
1986,1209.3915151869924,2804.7504929628335,4253.317468903758,2638.421092157489,3275.944282354998
1987,1397.6117032149946,2637.1048284350613,1661.7733639914168,1866.5938603915429,2953.364957311701
1988,2081.1584442716003,2908.7964036282456,2201.2163312606754,2825.475102623439,2622.023001930262
1989,1808.5268469932787,3897.398234908687,3257.341456052275,2246.47528218218,5505.344443138107
1990,1395.7520316287644,4115.665560516255,2504.950256629675,2553.1962618422776,2975.5199386279005
1991,1352.392068802938,3169.5065176854073,2532.795690179021,2760.774802141118,3860.9697735077784
1992,1497.2241302793961,4041.941475961539,1487.0014392586847,2658.2819114434037,2416.1214941945636
1993,1361.4117102743942,3493.957690438998,2886.418365978228,2697.888531503901,3584.8105618598584
1994,1359.552465438114,3598.126464924585,3674.446221002993,2621.948759247232,3962.9011233348933
1995,2786.2404978962527,3372.7692103807567,2961.9866547011843,2349.134645475587,2628.261007910058
1996,1676.5222151966602,3576.7409692754863,2929.749511922075,1871.7048208602207,4091.916038462994
1997,1231.3394651037318,3294.0135511133744,3403.867973581749,3103.1142130857415,4464.0094794719125
1998,1810.214813931858,4345.644888849576,829.7417658961346,1740.0484305632076,4831.218392088643
1999,1776.2003578463957,4466.30672296246,2115.456960363745,3197.1064883691765,5018.181559118633
2000,1404.9982585819528,5470.4537107204305,2531.5726474530534,2205.536941030913,4004.213491064366
2001,1375.0811652576429,4109.296703151603,2536.4458822403685,1932.4057209277291,4585.037940854794
2002,1064.8147723944314,4020.3101797138615,3962.0450037995843,2054.1428821557142,3580.9625018667853
2003,1297.9848737383438,4838.266528447333,4085.5970489135702,2502.3743174145347,2296.1357020345204
2004,1150.6582543070563,4549.7331833627195,2732.069062236759,2287.346906310384,2975.7569959520956
2005,1850.7676058028906,3614.8125340796537,2365.7434064335307,2653.0597059666775,3199.738150162994
2006,1480.7890024135681,4114.229926673713,2139.789275974986,2883.119812659254,3401.2599654537353
2007,1836.451913970582,3826.1680951799585,2247.4746150708334,2765.9323644114857,2319.3940634023966
2008,1513.6345158797078,4497.104754885227,3437.421630316852,2603.3351804682316,4276.883454419495
2009,1388.1752014400706,4547.062953030465,1866.6397442838916,2452.1840475524145,3728.3298325244787
2010,2014.6489573997858,4214.355609279422,1119.4255847072252,2987.1349122402576,2274.1654665117258
2011,1909.471732080675,4010.312722936969,3909.7805470207354,2152.7849780492847,3639.51649167494
2012,1546.8883859916946,3684.064735200091,3046.679160057441,2986.933717198267,4102.41262645698
2013,1327.6474503181435,5632.34645203885,1643.236762068454,3347.1077972493767,2628.8177296313506
2014,1388.659011018473,3402.6792820263054,1993.4459571956693,2663.2191563186484,3534.7356455772097
2015,1006.1203423434315,2498.9676453335114,4048.5060815858637,2597.0000110452597,2623.7078417781922
2016,1319.492383628758,4803.313352410508,1717.7552781198508,2440.494348604409,2665.829839403916
2017,1481.3359112717478,4584.914560667514,2475.9159808578756,2061.972811871001,5033.28167757451
2018,1137.0992883557833,4734.919263541633,4131.725078368848,1489.0342513752469,3837.8049063612875
2019,1272.7008113878258,3257.084424543351,3009.6970116479097,3111.931579391586,4724.752051418522
2020,1686.0563329834406,3159.0956411727666,2724.0361981043993,2662.986604639952,2597.3553631127056
2021,1595.9460576576878,3059.832141142291,4587.852961351217,2564.44831411145,4474.887419818152
2022,1318.056179721576,3920.6172340595094,3370.750246801547,1936.8267250358886,3805.253332198639
2023,1746.1753573504336,3648.878192171645,4837.034576912335,2546.8301885497654,5205.9720945087165
