,NA,EP,WP,SI,SP
1980,,,,,
1981,2030.722291927083,1832.924267358903,1024.399715327638,1737.8439239952334,1856.3453014078302
1982,1694.6916954758815,1661.2598410032729,1584.2716198556327,1676.1615063518907,1689.1395910912393
1983,1616.8609438175872,1577.494335772326,871.6240917182428,1531.0972786553632,1662.0345529009217
1984,1492.5634342008784,1799.2910896020585,1067.2878768417715,1674.5367521958904,2347.5023700562333
1985,1921.250838085028,1641.1374480882341,1350.6028138957752,1682.0264726737662,2383.1409254453715
1986,1599.6341197629488,1620.6522662191103,1833.5974258390227,1605.1159903128532,1933.948264492281
1987,1707.2197595871273,1699.0140885515978,1148.3754142797557,1520.487559573233,2107.5970746929393
1988,2320.32590778417,1866.5163078956987,1017.5409495009874,1703.717847322092,1770.1227339306733
1989,2259.7458925386504,2139.1312406378775,1346.3828957621379,1481.6029544508488,1925.035152881752
1990,1596.872725800877,1903.304507162077,1086.8487361024706,1754.708023624758,1921.3851721489964
1991,1831.647877574823,1859.0630650122864,1359.8856078183794,1747.9748871705735,1670.0171351929203
1992,1719.807067559272,2001.319635417965,1032.033215271847,1567.1719125773063,1949.5948091182127
1993,1647.3782621704229,1872.9369440605196,1321.8974687669167,1714.7556504290073,1803.3026735171318
1994,1822.9157773837421,1824.6869678016456,1347.426809581456,1690.068995706728,2390.218194470605
1995,2602.3704264792545,1802.8590797589354,1321.0541630095647,1658.1557583614267,2077.243527365449
1996,1863.9138720004655,2234.646918693168,1332.0522065487592,1474.5826745651643,2218.451723640584
1997,1630.818574624548,2056.547475344469,1645.1393218496617,1643.8219415524259,2121.1371258235185
1998,2279.1493017850794,2502.745424226366,603.7274591828306,1305.3941791272787,2182.1081982935384
1999,2238.54784087539,2066.9875745919408,1006.7726879230601,1654.63527793678,2201.5990492110554
2000,1779.542558908122,2298.9008787449748,1193.3142952900455,1593.3295327806711,2309.1557137268856
2001,1822.3909533698281,1581.0669284195203,1399.7275068811912,1451.7503400019177,2201.0550649246197
2002,1530.0853513770637,2073.0098572258703,1531.023624962751,1571.2345269185828,2392.4300134793893
2003,1844.9179097305337,2001.5542026157702,1505.0627957343968,1597.1075774204332,1885.1717418508288
2004,1570.5784737938384,1994.7561488874137,1229.9689051693535,1720.6256646763438,1592.242831306919
2005,1975.8955109535204,2224.1504600551843,1096.716372904973,1724.9021310662176,2204.7495065598728
2006,1736.1522668901296,2173.1829743016388,1236.4207819903916,1620.5343177906584,1637.321208659299
2007,2021.630456581035,2068.626283368251,1426.93103997211,1699.3510602726294,1696.651808415298
2008,1952.384145861395,2288.625770849743,1256.791862204402,1879.642881743576,1779.003003003692
2009,1993.8203912447718,2048.336430449703,1007.6188002495611,1695.596360217565,1985.4111799689333
2010,2398.0809635072715,2127.1177735958677,715.2043004062967,1791.5537686759803,1756.1173858855152
2011,2298.339906552203,2130.7506165067607,1568.5541533212167,1392.3457559105275,1639.487723453231
2012,1900.7274333292937,2087.7145954877656,1300.942467619408,1755.0871934375882,1828.9504279627395
2013,1892.548362065122,2440.181478999285,888.7491272688411,1932.5158920514014,1648.113624557986
2014,1965.9222957646698,2364.902093728048,1161.069177619844,1776.712948836395,1692.9048493950236
2015,1638.4065336984186,1417.3275072949632,2133.072477028784,1673.4820396379785,1761.4555051119855
2016,1915.4723644361402,2267.222041641208,852.6598592140596,1794.5002169617119,2015.035837926601
2017,2042.0442615738666,2303.6815796918813,975.4046357662343,1487.342348104027,1989.574628447216
2018,1744.0733855823773,2146.8781363332273,1548.0797828828984,1514.6262285764096,1932.4050907481633
2019,1919.4662454355748,1987.5802756622422,1559.9479918069678,2257.048115271534,1912.7921341265655
2020,2108.6377047539645,1901.0599523637463,1247.730768129013,1697.7312632813007,1485.2379838680927
2021,2068.5683989402887,2064.5377657433273,1453.4712263734716,1516.877784756117,1873.3020284280904
2022,1886.9630640346131,1902.5516459622602,1162.9970837517842,1612.770487937421,1696.1153134901565
2023,2054.4250380024487,2146.0635369432257,1691.2362813246866,1841.15963782858,1927.456732534234
