,NA,EP,WP,SI,SP
1980,,,,,
1981,8106.8470045059685,7808.430825945907,9028.85073964837,8274.477771549467,6256.8381472606925
1982,6158.1053621854635,4103.3675064073495,5950.474658019955,7848.735576988844,12880.849166465066
1983,6429.781864658965,8143.166627566183,9333.939645223873,11455.766548384801,9581.36731954844
1984,5316.318943507836,7156.428598894533,7709.146291977063,11862.688450273945,10213.64043659302
1985,7042.955976668305,8649.556269485518,9207.757211061476,7208.079714331416,11082.35915115434
1986,5948.4402721409615,7138.308196719945,10833.461173870894,6069.201546982605,10225.764871405905
1987,7649.37489091224,4317.295496588732,6699.22195878847,8900.410574934152,9156.305016611237
1988,6067.372227367149,7183.827725621169,8965.444465921822,4848.433715254197,11802.575453227502
1989,5286.5641957982225,5490.333290727966,10109.879230608616,9747.3591708297,12573.045127011701
1990,10414.127436121717,6673.917260069807,10252.32345518357,8372.55138192315,8221.626513229356
1991,7383.665348448726,7934.9716530377955,6205.785505361723,10183.35350557071,5266.858063003607
1992,6024.712097432178,7792.023354670629,4850.806191889965,11426.411214927042,7413.064594905427
1993,5505.49379085893,10526.181958785119,7753.27381209756,11455.431925913967,10536.219380762634
1994,7468.9505794470715,11701.558817878424,7517.005748836211,8879.116071817152,11817.841773371918
1995,9596.78400953219,9551.082859564343,7440.606296158399,8281.900965679692,8298.431429838278
1996,8385.938771088217,7718.34811283628,9850.712301054244,11799.418277148106,11186.314644130218
1997,6106.405601477062,10199.58681655115,5305.972497434593,8315.316630223562,7265.758328890085
1998,9630.068009798597,13960.672071230274,7535.659106615557,13043.310800208266,11174.162987344667
1999,9537.743313281731,10513.307914627181,4912.339246766852,8664.831162881224,8547.637406392367
2000,4803.925995116119,10301.78113219808,8152.415675956516,15025.349604779183,10554.990135326932
2001,8846.268534354469,11819.923857304631,6786.868001461639,10249.040158714983,15858.216527880246
2002,5739.695007177732,17080.822989956327,7118.369179302494,12628.938577615765,9884.691451872388
2003,7951.265730557804,11824.61999243787,9952.52819099571,13450.109294187543,8580.174669554628
2004,7026.801742437972,12837.169627285906,9991.54175977683,7745.450599568933,16862.60423126703
2005,12890.672191900934,9682.432148593654,5491.511680876941,11446.155589641932,10700.376987427033
2006,8112.153021397634,15299.55646859325,7837.204452925387,12399.121814058823,10219.909660563579
2007,11433.507847994388,12281.653884388688,6011.980237346231,12373.611685185015,11706.770175846417
2008,9210.023962392412,15661.544839236596,5765.940969607992,8251.12191686996,10362.335258681516
2009,7955.048131519189,18704.204271505878,6949.8281374230655,11121.215690578056,11449.04961366263
2010,7573.5337198450525,6722.125255635869,3629.5100075910304,10183.729707093595,5551.624678235593
2011,8996.314321663494,11905.529819002622,4150.873367399066,7956.509885446784,8200.442356416444
2012,7300.669573184559,17195.218965511453,3287.8997838394935,10452.367006213668,14439.926700074058
2013,7401.22987551772,15176.0713518838,3749.070724797645,13190.115780583157,6990.4932927933005
2014,7294.266438772066,13618.040818110017,5269.9328073717625,10357.054570110136,7693.477348927191
2015,6642.188714971024,15876.966376854187,4699.626071307477,10961.105553841686,9074.866889120958
2016,7749.397488575226,11178.109632279817,4712.64660324761,11335.474488568021,16020.536665918658
2017,6809.027572238103,11440.415558610972,8279.814269859995,7025.584572306178,13424.065580941817
2018,6316.5820147437935,16097.731568586245,6974.103205456998,7636.131412502934,17355.565047967757
2019,7231.161306025614,11907.910809163206,8573.243676115013,8896.109840493593,10669.559925849786
2020,10567.233783879725,8285.758389851922,8313.546275532619,9356.302566586388,12257.959583448579
2021,5994.4049855951,12754.394470732159,7132.7552690193515,9568.339112564487,9959.69685516481
2022,6768.1763057523385,9068.226252872691,5093.645429360495,10070.698598493704,11138.019228176328
2023,11407.810688543414,13910.302019031982,3931.318167167926,6316.421813453996,8623.142142485303
