,NA,EP,WP,SI,SP
1980,,,,,
1981,2.5294766219683686e-06,1.1811756606975524e-06,3.941512321060285e-06,1.996212167806264e-06,-1.0932889121499072e-05
1982,3.6322138725865572e-06,4.108027607886952e-06,-1.015916541739864e-06,1.536776280490594e-06,-1.517027160776985e-06
1983,3.7838673685049884e-06,4.5868130611388555e-06,1.4138081953376977e-06,-2.5611812456875927e-06,-5.5272623849718334e-06
1984,3.2971476258209134e-06,3.6586383647452076e-06,1.2417034782640297e-06,1.0731198671647398e-06,-7.156525846607276e-06
1985,2.0549297831108874e-06,5.947365663034996e-06,2.204122307682873e-06,5.723773098156259e-07,-2.6380976539888348e-06
1986,3.330417088929782e-06,5.296266263123587e-06,-3.2535803957592848e-06,-7.478603662075489e-07,-4.338453743303213e-06
1987,2.6942988840161097e-06,3.842406791676419e-06,1.476334088257484e-07,-2.7717100343688823e-06,-1.1503165670198692e-06
1988,1.7076290994682974e-06,1.1218249897623884e-06,1.5918341837818842e-06,1.772481366148568e-06,1.9019626443168102e-07
1989,1.294841650149944e-06,2.423191064776593e-08,-1.0680497947608287e-06,1.2978997485547073e-06,-1.795124160696407e-06
1990,3.966324680640904e-06,1.094314583107633e-06,4.964524728753956e-06,-4.695365542969243e-06,-1.9803322920874817e-06
1991,2.711771350329148e-06,4.012453187472108e-06,1.2723692313619045e-06,-4.243202839432243e-07,-5.321040181076605e-07
1992,2.8086312088292476e-06,1.41134709379328e-07,6.315457641788307e-06,-2.7640932329477764e-06,-5.4285700125304765e-06
1993,2.750098792914877e-06,6.808521892872315e-07,2.370138857484366e-06,-5.996881992513344e-07,7.433567055480655e-07
1994,2.8317078073308786e-06,2.2298465071654e-06,1.175337038665684e-06,1.614864384306636e-06,-5.197978966454957e-06
1995,1.1560909454813431e-07,1.0612788574153117e-06,2.139690708517314e-06,2.4582517798801893e-07,-3.0236211144660497e-06
1996,2.4739209969707337e-06,-8.132417559023168e-08,9.047508493059245e-07,2.9733214717546945e-06,-3.5777800006125134e-06
1997,2.5476980924819233e-06,-1.0778772705718773e-06,1.4029419957520159e-06,1.5859146066479444e-06,7.2339727671186e-10
1998,2.9532371694340315e-06,-1.7927002336174172e-06,4.10647031163067e-06,-4.473755945808084e-06,-2.6037803790903437e-06
1999,1.5222496582509762e-06,-1.6418236779673325e-06,1.5460201622479011e-06,6.444861662181226e-07,-3.890193575082082e-06
2000,2.700269046634306e-06,-2.3239705296709276e-07,1.3827559071501175e-06,2.0295031824596802e-06,-6.370117712790794e-06
2001,3.128671487674711e-06,2.981052010616985e-06,7.899539212309304e-07,4.057818820454377e-06,-4.342480373408937e-06
2002,3.972646017024367e-06,6.831837924209237e-07,1.4384326243221116e-06,-9.098974862769981e-08,-1.7611930829561586e-06
2003,2.7840621891635757e-06,-1.5567734647243876e-06,-7.485037838472853e-07,-1.0089801090032204e-06,-3.1989299374533236e-06
2004,4.636414440103333e-06,7.096753956449665e-07,3.1825290436571638e-06,5.646013891819808e-07,1.5494849940782713e-06
2005,2.9164310779600573e-06,-2.7120323113889267e-06,5.123503630246711e-06,-2.14736220144446e-06,-4.18128480694874e-06
2006,3.5543616113310162e-06,1.2740893533480042e-06,3.367130559711603e-06,2.032429560334575e-06,-1.8666936027576146e-06
2007,2.0500913509092965e-06,2.1894849468677473e-06,2.2990631305687695e-06,-3.287265827649891e-06,-4.7138669274948e-06
2008,3.018475136715051e-06,-2.3299246097439903e-06,1.8581267105222286e-07,1.2198345642459525e-06,-2.9664651981069003e-06
2009,1.2042908417807429e-06,-7.405029782022858e-07,4.635275031689675e-06,-8.279979723978619e-08,-3.861075128822172e-06
2010,1.3468331156160821e-06,-3.3382273052962425e-06,8.40037523470531e-06,8.985618296417215e-07,-4.854351390068683e-06
2011,2.260312484554984e-06,-1.6442012930800393e-06,-1.134680877199964e-06,3.6593400468720747e-06,2.6824539815064096e-07
2012,1.8705816368117759e-06,-1.368529046051343e-06,1.8602939864071889e-06,9.376445039801994e-07,-4.879444430709304e-06
2013,1.4181461010145396e-06,-8.285693227721049e-07,3.906481287864517e-06,-2.5217228844356765e-07,-3.573324079795032e-06
2014,2.7922493490494514e-06,-2.5892170474187024e-07,3.7001615242151086e-06,2.3591614528548165e-06,9.110585507859175e-08
2015,2.8499585859316975e-06,3.986048579166589e-06,-2.528913307626413e-06,1.7933880423814641e-06,-2.8356980562567826e-06
2016,3.1553996885934296e-06,4.792593302252159e-07,2.4888872940692126e-06,-8.361519929801281e-07,-1.7088261194243508e-06
2017,2.2065427711309113e-06,-1.8936976541427311e-06,8.535637217262707e-07,3.6415857472755873e-06,-4.667365251206884e-06
2018,2.3334856679030104e-06,-4.700382932361032e-08,9.897404378467272e-07,3.867301268126928e-06,-3.7390958987482334e-06
2019,2.4227012902644186e-06,2.15864344120798e-06,1.5174452834144972e-06,-4.063433663810644e-06,-2.2483378745173195e-06
2020,2.3138303278488826e-06,1.1251959151619137e-06,8.54089475510949e-07,-5.427610959624407e-06,-1.4759500205317678e-06
2021,1.5626960930717202e-06,-1.2554334202022708e-06,-1.3612517887544153e-07,5.770259400242964e-06,-2.131931821990647e-06
2022,2.171516289349726e-06,1.103265357106457e-06,-1.659137379182024e-06,2.720536458048833e-06,6.408603394655576e-07
2023,3.4397603801212984e-06,-1.4335101502347953e-06,-9.778893467985398e-07,1.0139092250320672e-06,-5.682038312196905e-06
