,NA,EP,WP,SI,SP
1980,,,,,
1981,2720594.4194692187,2839262.9868315426,2027305.6316239815,2827446.57531467,3314758.3033347544
1982,1963377.1484603807,2221075.8594569145,2976063.788914527,2841191.0452089305,4095339.2805163856
1983,2091666.8691800386,1476484.2873753952,1471428.8874938423,3424855.525125801,3066620.1409134013
1984,2036926.3437986784,2923286.682229637,2469217.1916475156,2999602.25111634,4936014.794325198
1985,2317332.0125140916,2415265.3406744897,2893319.323866385,3366917.5449917014,5214276.524679829
1986,1805067.1814041769,2107908.422606998,4140624.645907992,2475128.4116603425,3822465.5601717676
1987,2006939.0115455855,1997968.4210873567,1736839.0352379088,1855512.5305787893,3929239.5508592622
1988,2500880.5670044664,3668745.566352345,1997831.2507668696,3005390.5299905012,3769379.0904151485
1989,2229859.9767260067,3601274.621235717,3184714.897162432,2097788.72239997,7129179.121657313
1990,1892282.59056497,4394854.202846484,2568177.2089136895,2209393.040386996,3586085.30151438
1991,1905685.162606162,2722924.926056485,2444396.8090375545,2593394.369009943,5642078.834737711
1992,2132251.4269147785,3789314.034354842,1212720.9570412887,2623868.783939614,3495795.0990644963
1993,2155325.815917884,4132042.181206884,2439456.552398495,2458054.4289488182,4996509.488510895
1994,1954038.7716581365,3194826.905294466,3470431.287595115,2416182.0948401457,4326230.398208575
1995,3631430.839108783,4177661.058845299,2852067.8744077645,2078283.1544758577,3713027.6134785386
1996,2431180.300895831,4297309.686514736,2558136.024900056,1959631.9452817366,4457700.254100451
1997,1802918.819083255,3183956.97556505,3072483.3922138377,3098496.4968797197,5371157.632351167
1998,2082274.7018129851,3962948.6154647595,1174215.9157606554,1737190.9943602367,5955732.597532743
1999,2219130.756283141,5044174.555725828,2262961.0439698678,3630727.7271397333,5847056.801623825
2000,2071405.101293227,4547575.046555573,2181147.2625005664,2162559.5761487624,4554995.006423247
2001,1879632.06921897,3442599.6908411756,2099836.171678176,2048179.3868668834,5347625.999804985
2002,1545767.3692449946,2936127.88171013,3307866.973165816,2119032.8151964936,4313856.746770639
2003,1837469.6710091427,5850471.318162144,3774223.6482039574,2159111.7393004303,3285275.853273392
2004,1561433.2831394006,4316137.052244968,2402816.887967626,2081436.0777188425,4532590.440528889
2005,2380370.457057896,4364559.95602615,2078020.154120654,2250173.0929795797,3542102.581310957
2006,2002202.7296105307,3143210.365218516,1981056.6692290257,3239492.5215731957,4184308.26697172
2007,2376640.272906442,3000370.308865658,1776095.842360963,2653533.2003819635,3348581.249746497
2008,1958232.45405506,4072447.229412929,3125487.294555283,2589033.4022791577,5609759.370795234
2009,2049431.8638279494,4362355.913456361,1453316.091973271,2445911.972157709,4234470.592759841
2010,2385498.8701028316,5591509.305680315,924313.3849344257,2444303.8618736784,3457149.229004159
2011,2255565.2726204037,5008971.6588341575,3455450.1613139817,2423242.4831189527,4299625.546240694
2012,2262277.479210652,3934550.6948300116,2730042.253998126,3043448.6645777393,4912787.8733887505
2013,2057734.5848584084,5893888.228638826,1493998.4154436556,3274308.2479376127,4085598.0309598837
2014,1804187.4851683548,3611561.017066355,1571269.992135729,2544624.1819807645,4218104.3915207265
2015,1562978.6120221834,2185522.909543506,3583920.8647991023,2518330.9324821467,3762166.846261136
2016,1795916.7341491615,4138295.388118859,1999309.356306543,2137039.522712753,3510549.184828185
2017,2009479.2389272982,5000340.928405659,2208253.935334847,2221981.3807259225,6210976.027595231
2018,1693950.0754162238,5202036.090025238,3522020.2438749126,1564102.0761844337,4406583.907075095
2019,1741695.6179276027,2668476.880038736,2269880.954214093,2804316.996571004,6907552.08134071
2020,2193029.6059869775,3471852.708600178,2515585.262158543,2439326.29325321,3992519.6966055566
2021,2215616.832174741,3831199.8254514877,4553610.276021206,3132651.6186859724,5256365.712072375
2022,2013058.146129529,4833187.039446934,3378242.9523005886,1961786.0036267557,5307780.856927486
2023,2317954.254280512,4010549.6924178693,4663359.0496924175,2723760.603002244,6425085.9634364415
