,NA,EP,WP,SI,SP
1980,,,,,
1981,247.66034906658297,283.1924166628089,334.0574515868262,332.04798455783316,238.4855407995236
1982,190.9725464047857,278.1928946841358,328.70649136506006,313.97869912996725,378.0121353932071
1983,200.5074788764973,201.2162384558658,213.93862559076018,342.05065158905063,241.3785237092905
1984,189.36257337556637,346.3730189441787,344.5625745013903,333.64182472124276,362.8657236330403
1985,205.7498013134684,365.54052044977584,394.98022438680215,353.64083436917787,443.82752663330183
1986,175.57388220492032,308.62855007373577,392.93982329151123,283.28268327671327,325.01732587098434
1987,190.5343118531346,267.99164942178237,219.32651362012305,195.3732408856616,318.3518303040192
1988,208.3306360478975,361.9815741881499,306.8900895755571,337.83375140855253,335.19997460181486
1989,192.62922500915022,391.4147627448302,378.0240784331699,258.41665253110864,608.3978263303395
1990,192.33254918095915,469.5741902827279,389.58977549478726,228.20489042869426,312.0053029805303
1991,182.82611372179323,351.1515265115104,303.5406119242599,284.68686646528806,497.40947245553195
1992,203.59375472207938,420.42742510098634,212.09475003677755,269.3158065852273,256.85890932965185
1993,199.4874768298782,442.78046092161003,334.10620408153983,271.07535495537724,437.25646640161506
1994,182.11679547834663,389.1275724078474,441.7188709115799,289.8062585414054,335.06716978763797
1995,277.195106011937,426.5539393154583,367.4880315335163,236.99299983132053,273.1841426256411
1996,216.4146868393942,403.8834603069673,335.1951163083377,253.30369751660504,372.1579033766851
1997,175.166364011304,325.52120230817314,348.0149188916015,365.51112860447034,485.0511876640221
1998,188.9119167186786,363.7731516215251,196.26149065851462,186.10074735561338,497.30281971176015
1999,193.34765228749274,505.13701847366207,321.2507978909532,381.9578436556723,477.46153560135537
2000,189.42037133768986,465.69112558714903,310.412796351405,251.94620364620258,344.4106039204299
2001,179.39245130886047,382.04177389892067,274.9345855247676,256.79273780663584,417.7801353534984
2002,159.02906904883747,341.2777496745875,410.75537829156866,233.29904521502618,364.676439357076
2003,168.2299219564857,529.0999947248383,414.99436157662495,257.5566198370165,265.4849537105989
2004,164.15145738956647,423.3201091769545,336.13411015129094,248.30541583456971,407.8581905250882
2005,219.4720614750172,395.92815875859503,333.980376010834,254.7431577166356,297.97880324897517
2006,197.58528492813434,358.63703461964155,270.74347397125047,378.3042128664966,362.5319795848979
2007,208.42009044490663,360.4195728858234,243.59328162861428,276.51520629482815,256.4007106679507
2008,178.97723711277035,407.89485205323484,412.5809301359945,281.2820708988384,477.1235353745997
2009,170.36374917159856,443.0988472699943,254.09446797385783,273.57844298739207,373.4759507833991
2010,196.53169554969134,482.15888349548356,204.44313544756236,293.37842234131006,263.03770338964364
2011,196.46178367445802,495.4953045116496,421.102477558184,303.20695761557494,453.6380089015564
2012,194.48631066659868,402.0137874492991,371.6283639697038,338.8218096301903,416.10227779185163
2013,174.5157109072862,584.8679030130161,257.2496421078199,346.5880077907101,325.0992614985285
2014,166.32248861584395,364.9825180031171,256.961291565388,297.93039738937176,400.227496672805
2015,143.81960048137358,301.57437549302256,336.42462537312065,301.2349401678924,306.69133902462625
2016,165.29802086650147,445.69816859337664,318.0085245027042,240.86886711462648,284.9257269182006
2017,176.4948629388461,461.18634804921874,343.99364428978544,275.65544066886093,490.4151595044924
2018,154.4017129467802,553.4931325431563,441.20198848782877,200.83306769250046,351.7435283437784
2019,156.71916399522107,306.2814142893333,294.4468204048536,260.28810788016864,540.6624828397211
2020,188.07850610382633,356.49604702573924,353.98659525453144,234.8224935917776,333.51502306453324
2021,183.8789568425358,338.38332219931414,547.8856831601955,380.47365924897076,489.80780969978883
2022,168.09395700280825,439.5113786749691,416.7118526134707,235.21836501083615,525.1965378019725
2023,206.86735120687672,336.0043052757118,495.7338168983111,293.22927159354776,513.7884538022295
