,NA,EP,WP,SI,SP
1980,,,,,
1981,236.95639814306836,176.14499565023607,197.94066714814747,187.8045912134775,198.63701885064967
1982,232.30400491393516,164.99946502770788,188.56357778653515,179.6116111536211,210.7748329034608
1983,232.6676785731737,178.47013938520757,184.37699965690013,191.09937886303112,213.31344085941717
1984,238.59526330671,178.47398071442248,187.50692896461186,194.85941304160886,199.2860016425652
1985,224.85840215914726,188.23811271688058,192.94847082503964,176.99565213448702,198.08942741585187
1986,237.78780180864493,172.56596432605215,209.9629293655343,174.90465637268974,211.0308117325597
1987,243.9612642699938,161.8824493456747,190.6357767693927,170.7401321930739,215.1898107512571
1988,235.5669385835286,170.99431141751685,184.73814660604975,169.97283692367867,205.95013069583112
1989,232.59928685679634,169.67198483899563,197.5946121220639,189.60400495090062,207.9213121871686
1990,237.98243925628913,183.59123733554745,210.6787235552744,176.03466166655514,212.11673876479273
1991,231.41909787419758,172.3568351448077,195.74950347831944,182.532633719939,193.35642010322272
1992,222.01370040523622,174.23136520860146,190.39451873489259,176.92564113815374,212.62192060574017
1993,224.3218403501246,181.6726671797929,196.66565995347503,183.16145249063118,217.31076126648028
1994,234.85293880234684,196.30323807631362,192.57283993822193,185.02346141156178,212.16836457722272
1995,242.98373740068547,191.4234237629196,167.91261303986167,178.21454575454555,204.85878843036275
1996,228.97148305461042,183.7938868794957,205.37421951304776,187.33713860398845,202.9351650284512
1997,227.58214408537097,191.79482375361465,190.36846876715805,174.56165638024544,204.55479239847872
1998,234.42499631304318,211.86738442081725,184.23756504005817,187.75111848567053,224.584572215879
1999,249.7118976019754,190.89619171798236,177.65053934739242,189.63319585560606,196.33965820467992
2000,230.57983092797585,184.8688178447969,180.10932797582518,200.26337333804085,201.0880742062357
2001,241.62507766508895,191.54230756301152,185.3968053559565,184.29647549077512,215.42961251234294
2002,221.5653988463391,196.63858272874512,189.72600696734602,183.44857507783541,204.89293957252227
2003,236.69520788584651,198.5250712697687,193.12943395419694,182.701544469163,207.39891385833664
2004,221.8491327450411,198.70455603714768,199.46262561581187,170.61875673838907,228.9680620720531
2005,242.44185756722604,186.58551658258162,167.8394384734126,186.10148056130643,211.01885726739852
2006,234.0157793682053,201.13475247732893,191.8875867882761,194.04067674912625,198.15709515297493
2007,245.13894074333618,203.4966381754378,181.96838791214103,203.14676308651144,213.31934383845777
2008,249.32152732288435,193.7961546833435,189.04734747754947,185.76218580251262,195.65147213930686
2009,231.70970688572893,207.23584287319318,194.0252314760892,188.4164072198872,205.09880755233536
2010,239.6870164671366,181.54798786637056,179.91291653338715,180.71692038354888,192.16884482329695
2011,242.960914862177,195.71252724955505,181.2596654017722,183.92152614211273,182.15554368158118
2012,235.80379977193215,209.17950495612993,171.24572142605413,177.39930058613976,203.82007642490964
2013,232.0720041927276,213.68873545661435,170.43899016035493,191.07501214324574,191.46173097261118
2014,236.8627663435353,200.37756744957895,179.9862149105177,186.93322580531395,193.5679803835045
2015,236.55246143843775,201.455567782909,190.24691510215803,181.14762377848118,207.83233293780194
2016,243.27010821531235,195.96803081765205,187.13650723368184,180.36050602801015,235.36057758493155
2017,231.67620242640095,193.47087420112953,194.07094962141872,182.64397214822256,209.52325555999806
2018,238.42461659263373,200.17350720738233,196.34726850883817,182.38131425214067,214.4801518783406
2019,235.6981941715589,198.5069110014957,205.90451608001806,185.54458749890276,213.19775288695791
2020,243.0889273474817,191.9760816164094,180.3203368176157,181.82716707486557,203.32147315630746
2021,220.38280548970533,195.81107872398695,194.0175070971698,190.65896868124247,188.55789614133352
2022,235.66996319590436,186.89608820839007,180.70931467516974,184.95540471528102,184.21819668797642
2023,240.7882411858591,204.8365672575817,185.68610402018714,174.32569284808915,191.2801504850053
