,NA,EP,WP,SI,SP
1980,,,,,
1981,4.188139284296049e-05,3.084226453076197e-05,3.5387426660867076e-05,3.321330738505908e-05,3.507682144727514e-05
1982,4.1357087925686965e-05,2.8517480548275805e-05,3.366745928224923e-05,3.1821573927937604e-05,3.707529647884473e-05
1983,4.128143555845327e-05,3.140168207603885e-05,3.277803390182738e-05,3.382095867113948e-05,3.820422663995415e-05
1984,4.2456362420475664e-05,3.1362808157972017e-05,3.341361628316626e-05,3.472817948564598e-05,3.5253358318540355e-05
1985,3.9937145657236e-05,3.34688596368727e-05,3.442822967815953e-05,3.11561155151995e-05,3.5163048854188316e-05
1986,4.2309976870359666e-05,3.0156995183553523e-05,3.7648436466447304e-05,3.082099519404782e-05,3.726000096873311e-05
1987,4.3127303783675226e-05,2.7866712512683386e-05,3.410395531464266e-05,2.9651673357980757e-05,3.8472768953567636e-05
1988,4.196915024594244e-05,3.0003734420046364e-05,3.276262291134919e-05,2.9696212165688225e-05,3.5998234217744134e-05
1989,4.132263953338317e-05,2.9771534988063368e-05,3.52869107838435e-05,3.357911868970253e-05,3.6888961055083276e-05
1990,4.21232457127364e-05,3.244272189100159e-05,3.781608217243819e-05,3.112148971329627e-05,3.781855856210223e-05
1991,4.11864177827155e-05,3.0163854467804877e-05,3.498969749376447e-05,3.2220853819149856e-05,3.427456176358041e-05
1992,3.9476830601200496e-05,3.067800219971608e-05,3.3923565563659036e-05,3.118812461395072e-05,3.7943660514029504e-05
1993,4.0039437094422696e-05,3.209036158702573e-05,3.524069508280766e-05,3.247786524410838e-05,3.885841400275736e-05
1994,4.1858725791275074e-05,3.4849334644358676e-05,3.443723585827605e-05,3.2837158860902214e-05,3.769105417083134e-05
1995,4.292599803943696e-05,3.401990619276456e-05,2.9464270299868996e-05,3.145196929622893e-05,3.631244028139862e-05
1996,4.084797780911504e-05,3.2503942376193265e-05,3.689394166584574e-05,3.2961884245992344e-05,3.6022703600605955e-05
1997,4.033885479313367e-05,3.3982818800966964e-05,3.398872700616918e-05,3.076180589233321e-05,3.6422489198051294e-05
1998,4.151087198140926e-05,3.7497363510418344e-05,3.278694496993289e-05,3.284818176164515e-05,4.029765749484691e-05
1999,4.4284798411635835e-05,3.390252963209204e-05,3.1484277093602904e-05,3.377961798635315e-05,3.448775761426225e-05
2000,4.0973184003394954e-05,3.27887193744303e-05,3.200830674525883e-05,3.567574233366658e-05,3.532394915753927e-05
2001,4.2892443088605454e-05,3.412034372313213e-05,3.300420493263599e-05,3.2767850951411216e-05,3.782351125312623e-05
2002,3.9563903650805965e-05,3.508962276721665e-05,3.386186893434162e-05,3.246630887761705e-05,3.624811972711823e-05
2003,4.219076112464592e-05,3.544367582392525e-05,3.439759357079395e-05,3.2307920400349795e-05,3.6980902700275e-05
2004,3.950321109030271e-05,3.535356975313722e-05,3.5689484088090004e-05,2.9778827852456144e-05,4.0447198770138974e-05
2005,4.299435979067466e-05,3.319003537789109e-05,2.9492350586443738e-05,3.295149620525452e-05,3.7187369981439936e-05
2006,4.17467496589367e-05,3.579705270771534e-05,3.4330589416003227e-05,3.4626077782205546e-05,3.522046892020191e-05
2007,4.3383672938163304e-05,3.6170400643750395e-05,3.23183489838762e-05,3.633763359945163e-05,3.751224940695657e-05
2008,4.437391873853521e-05,3.448890043628451e-05,3.361906843190549e-05,3.297929768302209e-05,3.4109713267304935e-05
2009,4.120176953145903e-05,3.702513426146606e-05,3.450720288270906e-05,3.3364878464366456e-05,3.6352229670353726e-05
2010,4.274013773707394e-05,3.2198080900476875e-05,3.168562522929669e-05,3.198987001236727e-05,3.3993070132097224e-05
2011,4.311543243500961e-05,3.47035222640733e-05,3.218773393725748e-05,3.2528425716332735e-05,3.169136569108878e-05
2012,4.1970458681990535e-05,3.73973125537096e-05,3.0068572805050835e-05,3.116994925220024e-05,3.5948829317294723e-05
2013,4.14122680951768e-05,3.816971597743362e-05,2.9989186291443216e-05,3.396043038445591e-05,3.3730188399298336e-05
2014,4.2194833757305075e-05,3.583965768900019e-05,3.1917437586848876e-05,3.316806570245666e-05,3.427706301025228e-05
2015,4.218156811718432e-05,3.5927542192741676e-05,3.397395570979314e-05,3.172787662080271e-05,3.7071726863099865e-05
2016,4.297627230791055e-05,3.481234531165145e-05,3.3361594744803856e-05,3.1831449135949177e-05,4.1863999805048866e-05
2017,4.116280431773436e-05,3.449261025484208e-05,3.4709196337309925e-05,3.2469120173774507e-05,3.7209397429775466e-05
2018,4.239125417952354e-05,3.5690916086389376e-05,3.5187775980973814e-05,3.2416153714013126e-05,3.715245655480848e-05
2019,4.2048959884326e-05,3.5260080612783055e-05,3.694220958573297e-05,3.279529981453168e-05,3.773530255520845e-05
2020,4.326822101994253e-05,3.398276128394517e-05,3.2040451015307395e-05,3.189515789670169e-05,3.5875379792516804e-05
2021,3.929287021301629e-05,3.5028733430438775e-05,3.461486814737833e-05,3.3870932807745406e-05,3.3267421076297174e-05
2022,4.2021543574717345e-05,3.3192463819335014e-05,3.2035452107317574e-05,3.2718751814317664e-05,3.2329348888483935e-05
2023,4.292408470072337e-05,3.6534147431650024e-05,3.307847840672563e-05,3.067887398877793e-05,3.3699417858596246e-05
