,DGPI_trend,ABCD_trend,A_trend,B_trend,C_trend,D_trend,,,,
NA0,0.002618,-0.001861,0.003375,0.001645,-0.009648,0.002766,-181.3541107,-88.39333692,518.4309511,-148.6297689
EP0,0.044786,0.057729,-0.011024,0.022929,0.031599,0.014225,-19.09612153,39.71833914,54.7367874,24.64099499
WP0,0.01941,0.018471,0.003413,0.000403,0.015799,-0.001143,18.47761356,2.181798495,85.53408045,-6.18807861
SI0,-0.005117,0.000062,0.004661,-0.006609,-0.004094,0.006103,7517.741935,-10659.67742,-6603.225806,9843.548387
SP0,0.006846,-0.000079,-0.013068,-0.002623,0.021764,-0.006153,16541.77215,3320.253165,-27549.36709,7788.607595
NA1,0.013486,0.014712,0.009156,0.003187,0.001278,0.001091,62.23491028,21.66258836,8.686786297,7.415715063
EP1,0.074714,0.076487,0.007325,0.014616,0.040211,0.014335,9.576790827,19.10912966,52.57233255,18.74174696
WP1,-0.022714,-0.021289,-0.009729,0.001846,-0.011138,-0.002268,45.6996571,-8.671144723,52.31809855,10.65338907
SI1,-0.005252,-0.005032,0.006285,-0.011459,-0.001559,0.001701,-124.9006359,227.7225755,30.98171701,-33.8036566
SP1,0.01657,0.012165,-0.007389,-0.001201,0.026238,-0.005483,-60.73982737,-9.872585286,215.6843403,-45.07192766
