,nh05,nh95,sh05,sh95,na05,na95,ep05,ep95,wp05,wp95,ni05,ni95,si05,si95,sp05,sp95
1980,86.8,279.725,123.2,242.09999999999997,129.9875,266.625,116.1,253.9,59.15,301.48749999999995,103.75,300.25,116.85000000000001,262.95,141.3,223.875
1981,85.875,280.0,112.05,238.425,115.7,267.75,118.65,250.54999999999998,49.2,287.00000000000006,90.875,300.25,106.75,238.3875,143.7,238.32499999999993
1982,95.25,281.94999999999993,87.41250000000001,256.075,106.45,257.75,116.5,253.37499999999997,56.125,291.875,90.875,286.375,105.75,260.37499999999994,91.275,245.93749999999997
1983,108.425,285.2,85.6375,252.5875,183.25,266.75,107.15,256.95,110.30000000000001,296.2,90.3125,279.075,85.45,252.7,98.75,243.74999999999997
1984,121.0,292.15,92.75,241.48749999999998,165.275,274.275,112.0,255.0,129.65,305.65,99.8625,309.025,93.25,248.19999999999993,114.375,234.45000000000002
1985,112.75,301.125,103.75,241.1875,139.35,277.5,111.15,245.58749999999998,115.125,315.5625,99.8625,335.0,89.25,241.0,128.675,242.92499999999995
1986,112.175,292.42499999999995,113.625,251.875,133.6625,274.04999999999995,113.7375,246.2625,98.85,309.0,101.55,331.25,110.2,251.65,121.1875,255.39999999999998
1987,116.6375,290.575,107.5,270.0625,136.7375,247.6375,122.4,232.34999999999997,105.05,312.8,109.475,320.62499999999994,103.0,267.75,123.6625,265.79999999999995
1988,120.86250000000001,283.175,100.45,266.09999999999997,154.1,246.35,122.5875,227.1375,105.60000000000001,312.075,105.625,300.325,92.675,266.9749999999999,123.875,264.125
1989,111.25,279.875,89.6625,266.2375,155.625,245.75,113.2125,232.27499999999995,98.85000000000001,303.3624999999999,90.375,319.625,84.05,272.47499999999997,128.65,258.6499999999999
1990,91.9625,284.25,97.0875,266.2375,142.5125,256.9625,108.1,248.7,77.15,287.3,76.0,322.8,88.5125,265.66249999999997,121.6375,264.9125
1991,104.30000000000001,273.99999999999994,89.9875,252.01249999999996,161.325,254.3,107.8375,251.72499999999997,87.0875,283.9875,79.5,316.29999999999995,77.575,244.625,105.75,249.4375
1992,109.85000000000001,278.79999999999995,82.55,259.54999999999995,138.25,255.5,116.9375,248.5,87.9625,286.36249999999995,88.9,294.9,62.0,245.86249999999995,109.6,261.55
1993,123.65,270.35,87.5,242.07499999999996,136.8,265.5,123.75,241.0,119.875,287.11250000000007,71.25,292.82499999999993,63.7,241.0125,114.0,234.99999999999991
1994,113.17500000000001,268.65,99.1375,240.96249999999995,131.9,260.05,123.8,229.6,98.7,296.1,57.25,285.525,92.525,238.1625,117.375,240.8125
1995,108.4,271.55,103.625,243.0,141.1125,266.5,123.825,230.55,94.625,309.625,67.25,283.5,103.625,245.625,120.0,224.8625
1996,102.125,268.9375,92.65,269.4,140.1875,250.75,113.0,237.89999999999992,85.4,308.19999999999993,89.625,284.0625,77.075,265.4,109.67500000000001,274.74999999999994
