,NA,EP,WP,SI,SP
1980,,,,,
1981,,,,,
1982,4740.109767123299,4671.609698259248,4225.744230461383,4767.667821630843,5097.335007913719
1983,4878.198347619539,4265.806356934164,4961.33754670433,5191.150850105467,5088.551254666956
1984,4486.1505705357,4265.253659771526,4728.8672521220515,5005.792793457077,5528.230747030968
1985,4635.181646669758,4225.393168784233,4624.289843329455,5285.007592164382,4924.179504170545
1986,4513.578460974903,4531.0036532387185,4052.675197048139,4466.063071461523,5019.153054222821
1987,4718.950396783644,4570.05155452613,4329.263113898688,5058.276916346009,4496.828378778373
1988,4682.787199062612,4070.5288508229382,5292.860588477432,5490.046860268785,4991.661567892007
1989,4789.637316420255,4140.2382656897635,4537.892032175826,4790.515593659065,5254.307816249794
1990,5021.766271987647,4092.508097587959,4272.780021452871,4448.168940948898,4318.713406736973
1991,4978.760675074432,4461.945844439584,4214.410534698882,5181.2613985895205,5060.665815208914
1992,4837.601827284761,4591.36426407985,4764.257119056298,5555.059094602781,5014.9584069526645
1993,4866.673370685011,4423.661147147968,4489.289058940397,5273.342236041297,4958.5620192199585
1994,4710.878992542594,4563.246800582984,4416.104257086796,4806.669820210545,5476.919012344856
1995,5088.195724080453,4304.739866426952,5477.166613874155,5170.097145403212,5746.482834009035
1996,4649.798527499645,4430.169115675466,4919.0103724934215,5275.432061000493,5341.390278336955
1997,5134.295231490301,5060.15519713249,4744.916419933314,5310.54305770827,5389.051714752464
1998,5217.183335376398,3981.8964523630348,5097.05695094157,5791.405498858599,5566.018649747841
1999,5382.66360355899,4389.818245586472,5339.3198476727985,6098.406546065715,6338.795480199112
2000,5673.014161442655,4740.565323562207,4960.090575096792,5530.560382483276,6310.633482344597
2001,5004.443902843336,5003.562670083739,5170.324722806877,5565.115230274593,6529.436335234753
2002,5429.6843533708625,5019.477264380384,4792.794699782316,5694.699241343893,6424.591468704638
2003,5619.25626432591,4958.83492687402,5199.858662266845,5760.008623281097,6484.569960311966
2004,5845.806020515008,4661.861760729527,4881.888874883035,6172.122103154827,5657.168725770579
2005,5403.577183644216,4624.847807178327,5790.629928492641,6001.970376478198,6127.27441703402
2006,5364.910449414961,4517.167768627466,4881.236371950732,5727.61462163374,6384.344149283085
2007,5654.672866336422,4541.484509753614,5729.105124651593,5711.400403028688,6279.582221601319
2008,5368.431396273274,4524.574042854564,5853.9264884010145,5940.86196808151,6932.9600136755425
2009,5472.016731316154,5168.712418758593,5368.741779569242,5605.710753287414,6236.652684662986
2010,5469.047543387366,4765.63299526214,5956.3205597030155,6239.312788635036,6254.29260048509
2011,5174.793318539344,3931.883395264431,5398.3292325809825,5721.817572311184,6575.69660723605
2012,5577.453909093263,4625.333952933058,5685.251249949671,6437.425544233056,6199.397658375436
2013,5476.939407849821,4511.255152144081,5607.804893083625,5615.660159338106,5966.339298578516
2014,5569.727616380311,5315.683395985998,5558.1844324176855,6360.750502540259,6261.109222954263
2015,5319.217054010014,5542.992900352417,4871.710065932724,6151.030389125791,6328.260836261202
2016,5531.617639491322,4865.161816941509,5547.031680042012,6725.91246132707,6271.618057948658
2017,5303.79351042187,4922.732312411852,5941.42259599939,5496.971042382261,6786.6879259386615
2018,5231.925682348606,4581.4820990025055,5556.062614891092,5588.3582292367,6002.516351974491
2019,5620.359811230375,5029.369920270282,5693.654156946668,6393.3177823974065,6560.080769948345
2020,5444.605035613524,4806.373430777386,6393.961099957522,6309.85355566901,6436.342648097996
2021,5550.800689268244,4648.695434026511,6270.69054325464,5814.6254751083825,6423.888986505598
2022,5300.192568091844,4437.744528433598,6196.12622224992,6322.12260345854,6929.323858709223
2023,5840.232772339273,4788.302826375584,5907.056642864783,6576.195616087135,7178.168121038732
