,NA,EP,WP,SI,SP
1980,,,,,
1981,,,,,
1982,12933.175870756455,12180.630663409249,12764.741809644816,14301.67123019967,15254.409800201529
1983,13732.626133872578,11935.157930213063,13649.65969885312,13681.078578019424,14883.33591134124
1984,13382.865999675916,13170.738018424076,16681.723067908762,13968.486590383474,14879.177004429828
1985,14139.949266522699,13480.856881821597,14086.24798827659,14889.70561240205,15920.003796154399
1986,13060.16541167955,12643.756655177167,15419.74714492879,13956.2112774459,16912.68531570074
1987,13562.03876871392,12363.399160620742,15102.241174585837,13360.113942976373,13391.140651913776
1988,13316.233974905024,12559.32653718578,13133.36078571445,12319.360625983723,12232.989491781998
1989,14440.475009476868,13981.058863613789,13270.237574794533,16176.677563260606,15262.343020689952
1990,14263.921076442082,12192.191105932923,12645.27726093996,14792.869220677485,15541.084705841482
1991,13041.634020144807,13362.29621878735,13258.165235702709,13873.233551074016,13156.737477183911
1992,14526.36751786967,12375.417920328318,14649.71601872818,15014.92391679212,14974.1130418695
1993,13061.905984979725,14338.108033995522,13572.957732528987,14332.114139681538,16869.063794026504
1994,13319.623620879047,14066.059665841203,15102.652101963673,13918.049766333887,14309.39533150255
1995,14645.77341250254,12811.834289986055,14664.259367570208,13689.628518880801,13823.151518073411
1996,13835.908899623419,14364.918093069438,15424.219362211534,16007.600693408374,17522.20849660698
1997,14552.92246204666,14615.790762374258,15590.277721461565,16366.864584011548,15556.05556817293
1998,15854.480821771627,12703.063125281078,13686.421034096607,15761.201504953711,14716.254616700739
1999,15680.788650115393,14141.484955293143,17182.17479912286,15153.481292196187,16475.413836183332
2000,14835.792412753775,13651.709060832336,15502.074311131715,16793.17823383589,17324.695156106485
2001,14997.49417261453,15522.662914207685,16871.640093683356,15641.933998718567,17718.81574203782
2002,15128.612425748805,15585.058234263333,16259.7688851368,17793.873805804873,16445.020275843737
2003,14861.088001793487,14690.360450378947,14247.285633520956,14687.097300763418,17439.66367948482
2004,16334.837828534954,14030.91553733901,14850.616555278077,14336.118390767657,16263.59375565151
2005,16253.907978785028,13543.4555410264,15947.774167266552,15361.431771428523,15453.860542382867
2006,14236.941485902355,14000.49988716081,15379.549634570112,15651.419295917254,18774.90129163154
2007,14645.790868944348,15034.732066953999,16231.65837894167,14564.190796882638,15779.534656469408
2008,14716.47031479144,14824.416662636278,17322.2146073771,15416.526614614986,17586.46107915112
2009,14217.052095612033,16367.876740563706,16776.249774373435,15927.254845788319,19639.033373625804
2010,15977.69515740825,13392.610523305642,17159.98392242301,15708.394479547456,15404.053266320285
2011,14897.625482470918,13033.072325121462,16573.187285536456,16498.21690039686,19032.28503320612
2012,14944.869364501734,15141.982750080306,17563.580076748945,15912.768380656611,17627.194411047145
2013,14436.759245946843,14270.798675199903,17635.802991422206,14947.618303439525,17215.474311771763
2014,14402.120600895352,16051.113062612607,18122.0272967328,15762.687831987916,18406.47795664415
2015,13646.30345653538,15451.811902361938,16996.97094780055,15981.664274759196,17583.461389754328
2016,14826.67907018801,16121.716999314258,16385.71311620481,16559.520544449326,15985.272300833996
2017,14517.182429800414,14697.163239116973,17698.96015998126,17196.179475513145,17230.96296292408
2018,14432.500595002775,14045.123537803034,17792.48745697008,16549.959995689016,18717.632810426196
2019,14684.024841517672,14855.509417008996,17123.639074852017,15647.04281668586,16655.763122944278
2020,14752.972292851367,14296.260659843036,17142.43467126613,16142.889845479163,18219.32400969307
2021,14453.878097603545,15085.943585450881,17226.887138161852,16471.319954909362,18466.882318679254
2022,14680.110152931291,13113.651380467008,16723.393627859223,15083.581181096066,18652.845608685482
2023,15232.206051365492,13296.033023861191,16635.960683297995,15207.18355761581,20533.2777588649
